squadra,giocatore,totale,num_gare,media,rank 0
Green House,Bango Skank,21.5,12.0,1.7916666666666667,1489.0
Green House,Joyopi,7.0,15.0,0.4666666666666667,1450.0
Green House,Plata,6.0,11.0,0.5454545454545454,1450.0
La threesome,Komorebi,4.0,8.0,0.5,1450.0
La threesome,Luna,0.0,3.0,0.0,1450.0
La threesome,mina99,5.83,7.0,0.8328571428571429,1452.0
I Bananari,Niko,0.0,0.0,0.0,1450.0
I Bananari,simone volponi,12.0,19.0,0.631578947368421,1450.0
I Bananari,massimopud,5.0,2.0,2.5,1509.0
Armata Brancaleone,Ella F.,0.0,0.0,0.0,1450.0
Armata Brancaleone,AdStr,0.0,0.0,0.0,1450.0
Armata Brancaleone,Skorpiòs,0.0,0.0,0.0,1450.0
Living Stones,Macleo,30.33,19.0,1.5963157894736841,1483.0
Living Stones,Vincenzo Iennaco,9.33,18.0,0.5183333333333333,1450.0
Living Stones,Ljuset,0.0,0.0,0.0,1450.0
Retroguardia Trash,Eudes,2.0,1.0,2.0,1495.0
Retroguardia Trash,AlexComan,0.0,1.0,0.0,1450.0
Retroguardia Trash,Andrea28,10.0,5.0,2.0,1495.0
Le TreMende,Emy,4.0,19.0,0.21052631578947367,1450.0
Le TreMende,sefora,0.0,1.0,0.0,1450.0
Le TreMende,Thea,0.5,5.0,0.1,1450.0
Gli scrittori del quartierino,camparino,1.0,10.0,0.1,1450.0
Gli scrittori del quartierino,Federico72,0.0,10.0,0.0,1450.0
Gli scrittori del quartierino,Marty12,0.33,4.0,0.0825,1450.0
the 3 BrOthers,AryaSophia,0.0,2.0,0.0,1450.0
the 3 BrOthers,ettore70,0.0,0.0,0.0,1450.0
the 3 BrOthers,ITG,1.0,1.0,1.0,1460.0
D Euforiche,queffe,5.0,1.0,5.0,1555.0
D Euforiche,Marcello,10.0,5.0,2.0,1495.0
D Euforiche,Kuno,5.5,3.0,1.8333333333333333,1490.0
Gli ultimi,caipiroska ,0.0,0.0,0.0,1450.0
Gli ultimi,crazycat,0.0,0.0,0.0,1450.0
Gli ultimi,Ghigo,5.0,4.0,1.25,1470.0
